"","time","time_month","time_week","car","renter","score_numeric","score","source"
"94231","2020-02-08",2,6,8919,17329,2,"WEAK_NEGATIVE","IOS"
"94232","2020-05-10",5,19,8919,24839,5,"STRONG_POSITIVE","ANDROID"
"94233","2020-01-15",1,3,8919,12935,5,"STRONG_POSITIVE","ANDROID"
"94234","2020-01-10",1,2,8919,45742,5,"STRONG_POSITIVE","IOS"
"94235","2020-01-06",1,1,8919,45742,5,"STRONG_POSITIVE","IOS"
"94236","2020-02-09",2,6,8919,17329,1,"STRONG_NEGATIVE","IOS"
"94237","2020-02-22",2,8,8919,12935,5,"STRONG_POSITIVE","ANDROID"
"94238","2020-01-10",1,2,8919,17935,4,"WEAK_POSITIVE","IOS"
"94239","2020-01-29",1,5,8919,45802,4,"WEAK_POSITIVE","IOS"
"94240","2020-01-13",1,2,8919,12935,5,"STRONG_POSITIVE","ANDROID"
"94241","2020-01-24",1,4,8919,12935,5,"STRONG_POSITIVE","ANDROID"
"94242","2020-04-09",4,15,8919,13863,5,"STRONG_POSITIVE","ANDROID"
"94243","2020-01-03",1,1,8919,44558,5,"STRONG_POSITIVE","IOS"
"94244","2020-03-04",3,10,8919,48056,4,"WEAK_POSITIVE","IOS"
"94245","2020-03-12",3,11,8919,25366,2,"WEAK_NEGATIVE","ANDROID"
"94246","2020-02-14",2,7,8919,25366,5,"STRONG_POSITIVE","ANDROID"
"94247","2020-01-06",1,1,8919,18136,5,"STRONG_POSITIVE","ANDROID"
"94248","2020-02-04",2,5,8919,42458,5,"STRONG_POSITIVE","IOS"
"94249","2020-01-29",1,5,8919,17935,4,"WEAK_POSITIVE","IOS"
"94250","2020-01-01",1,1,8919,36301,5,"STRONG_POSITIVE","IOS"
"94251","2020-01-01",1,1,8919,15564,4,"WEAK_POSITIVE","IOS"
"94252","2020-02-03",2,5,8919,21337,2,"WEAK_NEGATIVE","ANDROID"
"94253","2020-02-10",2,6,8919,17329,5,"STRONG_POSITIVE","IOS"
"94254","2020-03-07",3,10,8919,48056,4,"WEAK_POSITIVE","IOS"
"94255","2020-01-10",1,2,8919,44558,4,"WEAK_POSITIVE","IOS"
"94256","2020-01-13",1,2,8919,29833,5,"STRONG_POSITIVE","IOS"
"94257","2020-02-09",2,6,8919,38871,5,"STRONG_POSITIVE","ANDROID"
"94258","2020-02-23",2,8,8919,16773,5,"STRONG_POSITIVE","IOS"
"94259","2020-02-22",2,8,8919,16773,5,"STRONG_POSITIVE","IOS"
"94260","2020-03-11",3,11,8919,13863,5,"STRONG_POSITIVE","ANDROID"
"94261","2020-01-08",1,2,8919,44558,5,"STRONG_POSITIVE","IOS"
"94262","2020-04-10",4,15,8919,13863,2,"WEAK_NEGATIVE","ANDROID"
"94263","2020-04-11",4,15,8919,46082,5,"STRONG_POSITIVE","IOS"
"94264","2020-02-20",2,8,8919,17329,5,"STRONG_POSITIVE","IOS"
"94265","2020-02-18",2,7,8919,12935,5,"STRONG_POSITIVE","ANDROID"
"94266","2020-02-19",2,8,8919,12935,5,"STRONG_POSITIVE","ANDROID"
"94267","2020-02-13",2,7,8919,12935,5,"STRONG_POSITIVE","ANDROID"
"94268","2020-03-16",3,11,8919,14638,2,"WEAK_NEGATIVE","ANDROID"
"94269","2020-02-16",2,7,8919,17329,4,"WEAK_POSITIVE","IOS"
"94270","2020-03-08",3,10,8919,17329,2,"WEAK_NEGATIVE","IOS"
"94271","2020-02-27",2,9,8920,24141,5,"STRONG_POSITIVE","IOS"
"94272","2020-01-23",1,4,8920,12834,4,"WEAK_POSITIVE","IOS"
"94273","2020-02-10",2,6,8920,36892,4,"WEAK_POSITIVE","ANDROID"
"94274","2020-02-15",2,7,8920,31732,2,"WEAK_NEGATIVE","IOS"
"94275","2020-01-28",1,4,8920,12834,4,"WEAK_POSITIVE","IOS"
"94276","2020-01-13",1,2,8920,8683,3,"NEUTRAL","IOS"
"94277","2020-01-29",1,5,8920,23814,2,"WEAK_NEGATIVE","IOS"
"94278","2020-01-26",1,4,8920,39693,1,"STRONG_NEGATIVE","IOS"
"94279","2020-02-01",2,5,8920,32875,4,"WEAK_POSITIVE","ANDROID"
"94280","2020-02-24",2,8,8920,14283,5,"STRONG_POSITIVE","IOS"
"94281","2020-02-12",2,7,8920,14283,5,"STRONG_POSITIVE","IOS"
"94282","2020-03-02",3,9,8920,46209,4,"WEAK_POSITIVE","ANDROID"
"94283","2020-05-11",5,19,8920,35698,1,"STRONG_NEGATIVE","IOS"
"94284","2020-01-03",1,1,8920,47742,5,"STRONG_POSITIVE","ANDROID"
"94285","2020-01-24",1,4,8920,38723,5,"STRONG_POSITIVE","IOS"
"94286","2020-04-21",4,16,8920,48179,5,"STRONG_POSITIVE","IOS"
"94287","2020-01-29",1,5,8920,41112,4,"WEAK_POSITIVE","IOS"
"94288","2020-02-09",2,6,8920,20446,5,"STRONG_POSITIVE","ANDROID"
"94289","2020-02-07",2,6,8920,27310,5,"STRONG_POSITIVE","IOS"
"94290","2020-02-29",2,9,8921,34642,5,"STRONG_POSITIVE","IOS"
"94291","2020-01-23",1,4,8921,14563,5,"STRONG_POSITIVE","ANDROID"
"94292","2020-02-09",2,6,8921,42208,2,"WEAK_NEGATIVE","IOS"
"94293","2020-01-27",1,4,8921,14563,5,"STRONG_POSITIVE","ANDROID"
"94294","2020-02-27",2,9,8921,14563,5,"STRONG_POSITIVE","ANDROID"
"94295","2020-03-13",3,11,8921,28559,4,"WEAK_POSITIVE","ANDROID"
"94296","2020-02-18",2,7,8921,14563,5,"STRONG_POSITIVE","ANDROID"
"94297","2020-05-25",5,21,8921,30877,5,"STRONG_POSITIVE","ANDROID"
"94298","2020-01-31",1,5,8921,14563,5,"STRONG_POSITIVE","ANDROID"
"94299","2020-02-17",2,7,8921,45234,3,"NEUTRAL","ANDROID"
"94300","2020-02-29",2,9,8921,12263,5,"STRONG_POSITIVE","WEB"
"94301","2020-05-15",5,20,8922,20597,1,"STRONG_NEGATIVE","IOS"
"94302","2020-05-14",5,20,8922,14467,5,"STRONG_POSITIVE","IOS"
"94303","2020-05-29",5,22,8922,16204,4,"WEAK_POSITIVE","ANDROID"
"94304","2020-05-24",5,21,8922,4066,5,"STRONG_POSITIVE","IOS"
"94305","2020-02-27",2,9,8922,33782,5,"STRONG_POSITIVE","IOS"
"94306","2020-04-12",4,15,8922,45617,5,"STRONG_POSITIVE","ANDROID"
"94307","2020-03-06",3,10,8922,22887,5,"STRONG_POSITIVE","ANDROID"
"94308","2020-03-02",3,9,8922,34711,5,"STRONG_POSITIVE","ANDROID"
"94309","2020-03-06",3,10,8922,9294,2,"WEAK_NEGATIVE","IOS"
"94310","2020-05-19",5,20,8922,15657,5,"STRONG_POSITIVE","ANDROID"
"94311","2020-02-15",2,7,8922,39588,3,"NEUTRAL","IOS"
"94312","2020-05-12",5,19,8922,35733,5,"STRONG_POSITIVE","IOS"
"94313","2020-05-07",5,19,8922,29075,1,"STRONG_NEGATIVE","IOS"
"94314","2020-02-19",2,8,8922,28792,3,"NEUTRAL","ANDROID"
"94315","2020-04-22",4,17,8922,36959,5,"STRONG_POSITIVE","ANDROID"
"94316","2020-02-29",2,9,8922,27938,5,"STRONG_POSITIVE","IOS"
"94317","2020-03-01",3,9,8922,29636,5,"STRONG_POSITIVE","IOS"
"94318","2020-05-04",5,18,8922,40819,5,"STRONG_POSITIVE","IOS"
"94319","2020-03-08",3,10,8922,38920,2,"WEAK_NEGATIVE","IOS"
"94320","2020-05-18",5,20,8922,27659,4,"WEAK_POSITIVE","IOS"
"94321","2020-02-17",2,7,8922,47933,5,"STRONG_POSITIVE","IOS"
"94322","2020-03-07",3,10,8922,23774,5,"STRONG_POSITIVE","IOS"
"94323","2020-03-22",3,12,8922,25447,2,"WEAK_NEGATIVE","ANDROID"
"94324","2020-03-04",3,10,8922,23774,5,"STRONG_POSITIVE","IOS"
"94325","2020-05-16",5,20,8922,18295,4,"WEAK_POSITIVE","IOS"
"94326","2020-05-06",5,19,8922,23848,5,"STRONG_POSITIVE","ANDROID"
"94327","2020-03-15",3,11,8922,47840,4,"WEAK_POSITIVE","IOS"
"94328","2020-02-22",2,8,8922,29053,4,"WEAK_POSITIVE","ANDROID"
"94329","2020-03-09",3,10,8922,40819,5,"STRONG_POSITIVE","IOS"
"94330","2020-04-25",4,17,8922,18295,4,"WEAK_POSITIVE","IOS"
"94331","2020-05-19",5,20,8922,27784,5,"STRONG_POSITIVE","IOS"
"94332","2020-02-24",2,8,8922,34333,5,"STRONG_POSITIVE","IOS"
"94333","2020-01-06",1,1,8922,27132,5,"STRONG_POSITIVE","IOS"
"94334","2020-01-06",1,1,8923,28671,5,"STRONG_POSITIVE","ANDROID"
"94335","2020-03-09",3,10,8923,28519,4,"WEAK_POSITIVE",""
"94336","2020-01-03",1,1,8923,44182,5,"STRONG_POSITIVE","IOS"
"94337","2020-02-18",2,7,8924,47017,4,"WEAK_POSITIVE","ANDROID"
"94338","2020-03-30",3,13,8924,14979,5,"STRONG_POSITIVE","IOS"
"94339","2020-04-05",4,14,8924,14979,5,"STRONG_POSITIVE","IOS"
"94340","2020-03-01",3,9,8924,23344,5,"STRONG_POSITIVE","ANDROID"
"94341","2020-03-10",3,10,8924,14979,5,"STRONG_POSITIVE","IOS"
"94342","2020-02-21",2,8,8924,14979,4,"WEAK_POSITIVE","IOS"
"94343","2020-03-04",3,10,8924,14979,5,"STRONG_POSITIVE","IOS"
"94344","2020-03-18",3,12,8924,14979,5,"STRONG_POSITIVE","IOS"
"94345","2020-04-02",4,14,8924,14979,5,"STRONG_POSITIVE","IOS"
"94346","2020-03-30",3,13,8924,14979,5,"STRONG_POSITIVE","IOS"
"94347","2020-03-27",3,13,8924,14979,5,"STRONG_POSITIVE","IOS"
"94348","2020-01-14",1,2,8924,28331,5,"STRONG_POSITIVE","IOS"
"94349","2020-01-20",1,3,8924,14979,5,"STRONG_POSITIVE","IOS"
"94350","2020-05-14",5,20,8924,3642,4,"WEAK_POSITIVE","ANDROID"
"94351","2020-02-22",2,8,8924,14484,5,"STRONG_POSITIVE","ANDROID"
"94352","2020-03-09",3,10,8924,14979,5,"STRONG_POSITIVE","IOS"
"94353","2020-05-29",5,22,8924,42511,5,"STRONG_POSITIVE","IOS"
"94354","2020-04-12",4,15,8924,14979,5,"STRONG_POSITIVE","IOS"
"94355","2020-03-05",3,10,8924,14979,5,"STRONG_POSITIVE","IOS"
"94356","2020-04-24",4,17,8924,14979,5,"STRONG_POSITIVE","IOS"
"94357","2020-05-05",5,18,8924,48874,5,"STRONG_POSITIVE","IOS"
"94358","2020-04-13",4,15,8924,14979,5,"STRONG_POSITIVE","IOS"
"94359","2020-03-17",3,11,8924,14979,5,"STRONG_POSITIVE","IOS"
"94360","2020-01-13",1,2,8924,28331,5,"STRONG_POSITIVE","IOS"
"94361","2020-02-29",2,9,8924,9964,5,"STRONG_POSITIVE","WEB"
"94362","2020-03-01",3,9,8924,14979,5,"STRONG_POSITIVE","IOS"
"94363","2020-03-11",3,11,8924,14979,5,"STRONG_POSITIVE","IOS"
"94364","2020-04-07",4,14,8924,14979,5,"STRONG_POSITIVE","IOS"
"94365","2020-04-03",4,14,8924,14979,5,"STRONG_POSITIVE","IOS"
"94366","2020-02-07",2,6,8924,14979,5,"STRONG_POSITIVE","IOS"
"94367","2020-02-16",2,7,8924,30890,5,"STRONG_POSITIVE","ANDROID"
"94368","2020-02-26",2,9,8924,9964,5,"STRONG_POSITIVE","WEB"
"94369","2020-02-05",2,6,8924,27106,5,"STRONG_POSITIVE","ANDROID"
"94370","2020-01-12",1,2,8924,9964,5,"STRONG_POSITIVE","WEB"
"94371","2020-02-03",2,5,8924,42508,5,"STRONG_POSITIVE","IOS"
"94372","2020-05-16",5,20,8925,34183,5,"STRONG_POSITIVE","ANDROID"
"94373","2020-04-25",4,17,8925,16797,5,"STRONG_POSITIVE","IOS"
"94374","2020-05-27",5,22,8925,16797,5,"STRONG_POSITIVE","IOS"
"94375","2020-05-26",5,21,8925,4504,5,"STRONG_POSITIVE","ANDROID"
"94376","2020-05-12",5,19,8925,47246,5,"STRONG_POSITIVE","ANDROID"
"94377","2020-05-23",5,21,8925,24136,5,"STRONG_POSITIVE","ANDROID"
"94378","2020-05-01",5,18,8925,46439,5,"STRONG_POSITIVE","ANDROID"
"94379","2020-05-22",5,21,8925,34183,5,"STRONG_POSITIVE","ANDROID"
"94380","2020-04-29",4,18,8925,3619,5,"STRONG_POSITIVE","IOS"
"94381","2020-05-23",5,21,8925,16797,5,"STRONG_POSITIVE","IOS"
"94382","2020-01-20",1,3,8926,25617,5,"STRONG_POSITIVE","IOS"
"94383","2020-01-05",1,1,8926,45861,5,"STRONG_POSITIVE","ANDROID"
"94384","2020-01-21",1,3,8926,21715,4,"WEAK_POSITIVE","IOS"
"94385","2020-01-02",1,1,8926,15839,5,"STRONG_POSITIVE","IOS"
"94386","2020-01-07",1,1,8926,21715,4,"WEAK_POSITIVE","IOS"
"94387","2020-01-27",1,4,8926,25617,5,"STRONG_POSITIVE","IOS"
"94388","2020-01-09",1,2,8926,23519,5,"STRONG_POSITIVE","ANDROID"
"94389","2020-05-30",5,22,8926,43251,5,"STRONG_POSITIVE","ANDROID"
"94390","2020-02-02",2,5,8926,28589,5,"STRONG_POSITIVE","ANDROID"
"94391","2020-01-19",1,3,8926,28589,5,"STRONG_POSITIVE","ANDROID"
"94392","2020-01-23",1,4,8926,23519,5,"STRONG_POSITIVE","ANDROID"
"94393","2020-01-29",1,5,8926,17286,5,"STRONG_POSITIVE","IOS"
"94394","2020-02-01",2,5,8926,28589,5,"STRONG_POSITIVE","ANDROID"
"94395","2020-01-26",1,4,8926,28589,5,"STRONG_POSITIVE","ANDROID"
"94396","2020-01-22",1,4,8926,23519,4,"WEAK_POSITIVE","ANDROID"
"94397","2020-01-10",1,2,8926,15952,5,"STRONG_POSITIVE","IOS"
"94398","2020-01-30",1,5,8926,23519,5,"STRONG_POSITIVE","ANDROID"
"94399","2020-01-08",1,2,8926,27898,4,"WEAK_POSITIVE","IOS"
"94400","2020-02-01",2,5,8926,8228,5,"STRONG_POSITIVE","IOS"
"94401","2020-01-22",1,4,8926,25617,5,"STRONG_POSITIVE","IOS"
"94402","2020-01-30",1,5,8926,16176,5,"STRONG_POSITIVE","IOS"
"94403","2020-01-04",1,1,8926,28589,5,"STRONG_POSITIVE","ANDROID"
