"user","city","gender","age","asset_year","user_status","earnings","first_trip_m","price_hourly"
168,"San Francisco","MALE",28,2015,"LIMITED",186.572,63,11
169,"Santa Monica","MALE",NA,2010,"ACTIVE",748.41,74,4.74
170,"Washington","FEMALE",46,2008,"ACTIVE",2481.042,67,4.66
171,"San Diego","FEMALE",NA,2011,"DELISTED",0,NA,25
172,"San Francisco","MALE",36,2012,"DELISTED",205.068,69,5.92
173,"San Francisco","MALE",35,2016,"DELISTED",290.7,66,15
174,"Washington","MALE",35,2010,"ACTIVE",1576.53,77,4.48
175,"","MALE",NA,1996,"DELISTED",0,NA,8
176,"Berkeley","MALE",NA,2015,"DELISTED",0,48,7.5
177,"San Francisco","MALE",NA,2008,"DELISTED",47.25,56,7.5
178,"San Francisco","FEMALE",52,2016,"DELISTED",40.5,65,15
179,"Washington","MALE",33,2016,"DELISTED",557.96,66,8.5
180,"Los Angeles","FEMALE",22,2016,"LIMITED",777.85,77,10.31
181,"Inglewood","FEMALE",NA,2015,"ACTIVE",0,84,7.46
182,"San Francisco","FEMALE",45,2012,"ACTIVE",0,59,5.82
183,"San Francisco","FEMALE",45,2017,"DELISTED",192.072,67,6.5
184,"Somerville","MALE",27,2013,"ACTIVE",293.892,67,15.72
185,"Jersey City","MALE",NA,2009,"ACTIVE",227.742,81,5.32
186,"Washington","MALE",43,2015,"DELISTED",2840.4,49,25
187,"","MALE",NA,2007,"DELISTED",29.52,NA,8
188,"Chicago","MALE",24,2016,"DELISTED",73.022,81,9.04
189,"Winnetka","MALE",NA,2003,"DELISTED",0,NA,8.5
190,"Arlington","MALE",31,2010,"DELISTED",302.64,54,8
191,"Van Nuys","FEMALE",NA,2016,"ACTIVE",0,82,5
192,"Chicago","FEMALE",45,2012,"ACTIVE",0,58,4.69
193,"Berkeley","MALE",51,2010,"ACTIVE",356.826,66,7.5
194,"","MALE",NA,2008,"DELISTED",43.2,NA,10
195,"Portland","FEMALE",NA,2012,"ONBOARDING",0,NA,4.96
196,"Fremont","MALE",NA,2007,"DELISTED",126.42,NA,8
197,"Jersey City","MALE",28,2017,"DELISTED",313.754,78,7.71
198,"Jersey City","MALE",54,2016,"ACTIVE",536.196,79,11.92
199,"San Francisco","MALE",51,2015,"RESCUING",1643.384,67,11.4
200,"Philadelphia","MALE",32,2010,"ACTIVE",69.986,79,6.38
201,"Berkeley","FEMALE",30,2014,"ACTIVE",2651.802,66,5.7
202,"","FEMALE",NA,2008,"DELISTED",0,NA,10
203,"San Diego","FEMALE",NA,2015,"ACTIVE",0,82,5
204,"Portland","FEMALE",NA,2002,"DELISTED",19.2,NA,5
205,"San Francisco","FEMALE",NA,2018,"ONBOARDING",0,NA,7.5
206,"San Francisco","MALE",39,2014,"DELISTED",167.312,60,9.5
207,"","MALE",NA,1997,"DELISTED",0,NA,7.5
208,"Manhattan Beach","MALE",NA,2002,"DELISTED",0,NA,4.5
209,"San Francisco","FEMALE",NA,2018,"ONBOARDING",0,NA,7.5
210,"San Jose","MALE",31,2014,"DELISTED",110.4,NA,9.5
211,"Portland","FEMALE",NA,1997,"DELISTED",0,NA,6.5
212,"Burlingame","FEMALE",NA,2018,"ACTIVE",0,81,7.16
213,"San Francisco","FEMALE",NA,2008,"ACTIVE",1331.956,51,6
214,"San Francisco","FEMALE",31,2013,"DELISTED",762.45,40,13
215,"Concord","MALE",35,2014,"OFFBOARDING",2276.476,46,5.21
216,"San Diego","MALE",NA,2012,"DELISTED",143.46,NA,6
217,"San Francisco","FEMALE",NA,2014,"ACTIVE",23.622,84,6.12
218,"Seattle","FEMALE",40,2012,"ACTIVE",68.146,79,5.55
219,"San Francisco","MALE",29,2005,"DELISTED",189.6,NA,8
220,"Miami","MALE",NA,2017,"ACTIVE",27.938,82,11.72
221,"Brooklyn","MALE",NA,2003,"DELISTED",0,NA,15
222,"Los Angeles","FEMALE",NA,2013,"LIMITED",738.044,74,4.82
223,"Jersey City","MALE",31,2017,"ACTIVE",300.668,77,6.62
224,"San Francisco","MALE",29,2018,"ACTIVE",2239.584,68,12
225,"Los Angeles","MALE",NA,2007,"DELISTED",0,NA,24.5
226,"San Francisco","FEMALE",28,2013,"DELISTED",213,NA,10
227,"Berkeley","MALE",39,2015,"LIMITED",180.438,70,5.65
228,"Washington","MALE",NA,2013,"OFFBOARDING",307.866,73,4.48
229,"","MALE",NA,2012,"DELISTED",0,NA,18
230,"San Francisco","MALE",32,2013,"DELISTED",361.56,48,7
231,"San Francisco","MALE",35,2014,"DELISTED",812.7,62,9
232,"Oakland","MALE",NA,2017,"DELISTED",402,64,12
233,"San Francisco","FEMALE",29,2010,"DELISTED",764.042,NA,8
234,"Chicago","FEMALE",NA,2015,"ACTIVE",150.468,79,9.08
235,"Medford","FEMALE",NA,2013,"ACTIVE",37.298,84,7.09
236,"San Jose","FEMALE",NA,2015,"ACTIVE",0,78,5
237,"Cambridge","FEMALE",45,2009,"ACTIVE",2687.372,74,5.47
238,"San Francisco","FEMALE",45,2015,"ACTIVE",0,58,7.22
239,"San Francisco","MALE",NA,2010,"DELISTED",132.6,NA,10
240,"San Francisco","MALE",51,2001,"DELISTED",1238.07,47,18
241,"Washington","FEMALE",NA,2006,"DELISTED",109.1,75,4.13
242,"Portland","MALE",NA,2004,"DELISTED",0,NA,12
243,"San Francisco","MALE",NA,2014,"DELISTED",110.578,NA,9.5
244,"Los Angeles","FEMALE",NA,2016,"LIMITED",0,82,5
245,"Alexandria","MALE",NA,2001,"DELISTED",0,NA,7
246,"San Francisco","MALE",40,2008,"RESCUING",1381.89,61,5
247,"Los Angeles","MALE",26,2017,"ACTIVE",437.576,80,10.58
248,"San Francisco","FEMALE",33,2013,"DELISTED",460.2,NA,8
249,"Oakland","MALE",NA,2012,"ACTIVE",1515.004,72,7.08
250,"West Hollywood","FEMALE",NA,2013,"DELISTED",0,NA,10
251,"Berkeley","MALE",NA,2014,"DELISTED",31.604,75,5.72
252,"San Francisco","FEMALE",30,2015,"DELISTED",4458.99,40,24
253,"Daly City","MALE",NA,2005,"DELISTED",33.3,NA,15
254,"Chicago","MALE",37,2010,"OFFBOARDING",285.84,43,8
255,"Portland","MALE",NA,2004,"DELISTED",236.16,NA,8
256,"","MALE",56,2013,"DELISTED",0,NA,20
257,"San Francisco","FEMALE",28,2013,"DELISTED",192.84,45,10
258,"Berkeley","MALE",32,2015,"DELISTED",1363.08,43,8
259,"Chicago","MALE",NA,2016,"DELISTED",937.222,66,9.02
260,"Portland","MALE",43,2008,"DELISTED",13.44,46,14
261,"Portland","MALE",NA,2002,"DELISTED",4.2,NA,7.5
262,"San Francisco","MALE",28,2016,"LIMITED",5390.736,58,12.52
263,"Washington","FEMALE",45,2015,"ACTIVE",0,58,5.48
264,"San Francisco","MALE",26,2009,"DELISTED",108.24,NA,11
265,"Portland","MALE",31,2015,"DELISTED",34.08,46,8
266,"Los Angeles","MALE",26,2018,"ACTIVE",332.072,80,13.24
267,"San Francisco","MALE",NA,2014,"ACTIVE",14293.98,42,18
268,"Washington","MALE",NA,2014,"RESCUING",69.076,50,5.11
269,"San Francisco","FEMALE",23,2013,"LIMITED",402.762,79,6.06
270,"New York","MALE",NA,2014,"DELISTED",0,NA,15
271,"Portland","FEMALE",NA,2010,"DELISTED",10.32,49,6
272,"Seattle","MALE",38,2018,"ACTIVE",195.658,83,8.59
273,"Daly City","FEMALE",43,2017,"LAUNCHING",0,NA,7.89
