"user","treatment","num_applications","num_hires","prior_spend","prior_openings"
281,"0",6,0,8.45690163912599,152
282,"0",14,0,7.62108736670118,24
283,"1",0,0,9.58030886386587,66
284,"1",22,0,0,4
285,"0",29,0,6.90039828252857,45
286,"1",23,0,0,1
287,"1",6,0,0,1
288,"0",8,1,10.1936663804982,76
289,"0",0,0,8.21172453808034,19
290,"0",3,0,6.28370496450152,34
291,"1",2,0,9.25629986691233,69
292,"0",21,0,0,2
293,"1",1,0,8.74182363675544,27
294,"0",4,1,0,4
295,"0",23,1,5.5642138469279,4
296,"0",15,0,8.31765629740268,145
297,"1",25,1,7.87667641091949,131
298,"1",2,1,7.68290631982117,30
299,"0",27,0,8.52844168918698,10
300,"1",11,1,0,1
301,"0",0,0,11.7551347446863,32
302,"1",88,0,0,7
303,"1",59,0,8.44005941536229,91
304,"1",20,0,0,1
305,"0",0,0,8.50140927826043,20
306,"0",5,2,7.12155127773584,56
307,"1",0,0,0,30
308,"0",33,1,9.28918852029386,17
309,"0",3,0,0,5
310,"1",0,0,0,1
311,"1",31,0,5.05343932308782,16
312,"1",12,0,1.79175946922805,22
313,"1",1,0,0,1
314,"1",1,0,0,1
315,"1",47,0,4.41000652118084,4
316,"0",3,0,11.2807385201608,64
317,"0",0,0,8.12254932193966,3
318,"0",6,1,0,3
319,"1",1,1,6.08604718959393,70
320,"0",136,0,7.14546423785565,6
321,"0",4,0,0,1
322,"1",9,1,4.19735231229633,8
323,"0",39,1,6.87253216477208,20
324,"0",12,0,0,8
325,"1",16,2,4.48953484238917,18
326,"1",16,1,8.04978778386728,18
327,"1",1,0,0,1
328,"0",7,1,7.4483629810326,9
329,"1",24,2,0,1
330,"1",7,1,8.50542420781624,12
331,"1",24,0,8.71138073477192,35
332,"1",5,1,6.37978349638118,9
333,"1",3,0,0,1
334,"0",0,0,5.9427993751267,2
335,"0",2,1,6.5754383969044,15
336,"1",2,0,0,2
337,"1",5,0,9.98878229027669,153
338,"0",1,0,0,1
339,"0",0,0,0,1
